symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
AMZN,bullish,2025-10-28,14:50,2025-11-07,10,220,215,5,P,-0.2333,1.5,1.6,0.05,1,229.18,95.0,0.3645,UP,DEFENSIVE_LED,2025-11-03,09:30,0.14,tp,134.7
TSLA,bullish,2025-11-05,09:30,2025-11-14,9,430,425,5,P,-0.2762,1.375,1.475,0.05,1,451.9985,71.7,0.5932,UP,CYCLICAL_LED,2025-11-12,09:30,1.42,time_exit_2dte,-5.8
QQQ,bullish,2025-11-14,09:30,2025-11-21,7,590,580,10,P,-0.2996,2.67,2.77,0.05,1,599.5551,93.3,0.2402,CHOP,CYCLICAL_LED,2025-11-14,10:50,1.4,tp,125.7
NVDA,bullish,2025-11-14,09:30,2025-11-21,7,175.0,172.5,2.5,P,-0.2401,0.75,0.85,0.05,2,182.88,91.7,0.4822,CHOP,CYCLICAL_LED,2025-11-19,09:30,0.81,time_exit_2dte,-14.6
META,bullish,2026-01-20,11:20,2026-01-30,10,590,580,10,P,-0.268,3.1,3.25,0.075,1,610.6105,45.0,0.365,UP,CYCLICAL_LED,2026-01-22,10:25,1.68,tp,140.7
META,bullish,2026-01-22,11:15,2026-01-30,8,610,600,10,P,-0.2135,2.59,2.74,0.075,1,635.9099,66.7,0.3752,CHOP,DEFENSIVE_LED,2026-01-23,14:05,1.43,tp,114.7
AAPL,bullish,2026-01-22,09:35,2026-01-30,8,245,240,5,P,-0.2936,1.36,1.46,0.05,1,250.16,81.7,0.2824,CHOP,DEFENSIVE_LED,2026-01-27,09:30,0.51,tp,83.7
MSFT,bullish,2026-01-26,09:55,2026-02-06,11,455,450,5,P,-0.2819,1.42,1.52,0.05,1,468.41,96.7,0.3186,UP,DEFENSIVE_LED,2026-01-29,09:30,3.58,stop,-217.3
GOOGL,bullish,2026-01-27,14:20,2026-02-06,10,325,320,5,P,-0.28,1.55,1.65,0.05,1,335.53,40.0,0.362,UP,DEFENSIVE_LED,2026-02-03,09:30,0.77,tp,76.7
AMZN,bullish,2026-01-26,10:50,2026-02-06,11,230,225,5,P,-0.2345,1.31,1.41,0.05,1,239.7813,80.0,0.3574,UP,DEFENSIVE_LED,2026-02-04,09:30,1.85,time_exit_2dte,-55.3
GOOGL,bullish,2026-02-04,14:30,2026-02-13,9,320,315,5,P,-0.2916,1.45,1.55,0.05,1,330.31,100.0,0.4043,CHOP,DEFENSIVE_LED,2026-02-05,10:55,3.03,stop,-159.3
NVDA,bearish,2026-02-17,09:55,2026-02-27,10,190.0,192.5,2.5,C,0.2696,0.7,0.8,0.05,2,179.905,98.3,0.4924,DOWN,DEFENSIVE_LED,2026-02-23,09:30,1.825,stop,-227.6
GOOGL,bearish,2026-02-24,09:35,2026-03-06,10,320.0,322.5,2.5,C,0.2732,0.87,0.97,0.05,3,307.5208,68.3,0.3676,DOWN,DEFENSIVE_LED,2026-02-26,09:40,0.44,tp,125.1
IWM,bullish,2026-02-26,15:35,2026-03-06,8,266.0,263.0,3.0,P,-0.2883,1.01,1.11,0.05,2,271.59718,93.3,0.2738,UP,DEFENSIVE_LED,2026-02-27,09:45,2.24,stop,-248.6
