timestamp,action,symbol,strategy,direction,entry_price,exit_price,pnl_dollars,pnl_pct,hold_time_minutes,dte_at_entry,dte_at_exit,entry_delta,entry_theta,entry_signal_strength,entry_conviction,entry_credit_ratio,entry_whale_premium,entry_prob_profit,entry_underlying_price,vix_at_entry,entry_flow_direction,profit_tier_reached,stop_loss_price,scaled_stop_level,exit_reason,day_of_week,hour_of_day,quantity,max_risk_dollars
2026-03-09T17:49:33.195842,OPEN,IWM,bear_call_spread,bearish,-1.01,-1.01,0,0,0,6,6,0.114,0.0567,98,100,0.3300,2768820,0.6966,247.98,0.00,,0,2.52,,,Monday,17,2,402.00
2026-03-09T17:49:35.376738,OPEN,GOOGL,bear_call_spread,bearish,-0.72,-0.72,0,0,0,6,6,0.074,0.0465,87,100,0.2840,1326350,0.6852,301.70,0.00,,0,1.80,,,Monday,17,2,358.00
2026-03-09T18:10:47.639367,OPEN,GLD,bull_put_spread,bullish,-1.64,-1.64,0,0,0,6,6,-0.087,0.0443,84,98,0.2900,1752826,0.6085,468.08,0.00,,0,4.10,,,Monday,18,1,355.00
2026-03-10T13:33:25.113139,CLOSE,GLD,bull_put_spread,bullish,1.64,0.79,85.00,51.83,1163,7,5,0.000,0.0553,0,0,0.3280,0,0.0000,0.00,0.00,,0,-4.10,,Take profit hit: close=$0.79 <= $0.82 (50% of credit),Tuesday,13,1,336.00
2026-03-10T14:23:23.471879,OPEN,AVGO,bear_call_spread,bearish,-0.88,-0.88,0,0,0,5,5,0.044,0.0402,87,100,0.2400,1743656,0.6702,349.55,0.00,,0,2.20,,,Tuesday,14,2,380.00
2026-03-10T18:58:09.329322,OPEN,NVDA,bull_put_spread,bullish,-0.56,-0.56,0,0,0,5,5,-0.065,0.0234,88,91,0.2160,1462059,0.6879,184.56,0.00,,0,1.40,,,Tuesday,18,2,392.00
2026-03-11T18:11:24.929245,CLOSE,AVGO,bear_call_spread,bearish,0.88,0.42,92.00,52.27,1668,6,4,0.000,0.0592,0,0,0.3520,0,0.0000,0.00,0.00,,0,-2.20,,Take profit hit: close=$0.42 <= $0.44 (50% of credit),Wednesday,18,2,324.00
2026-03-11T18:18:33.559420,OPEN,AAPL,bull_put_spread,bullish,-0.57,-0.57,0,0,0,4,4,-0.096,0.0223,86,92,0.2240,4736079,0.6466,260.12,0.00,,0,1.42,,,Wednesday,18,2,388.00
2026-03-12T15:24:05.259882,OPEN,WFC,bull_put_spread,bullish,-0.55,-0.55,0,0,0,7,7,-0.161,0.0326,71,100,0.1800,2266501,0.6474,74.83,0.00,,0,1.38,,,Thursday,15,1,246.00
2026-03-12T15:45:37.559160,OPEN,SMH,bear_call_spread,bearish,-1.69,-1.69,0,0,0,7,7,0.072,0.0246,67,100,0.2500,528963,0.6846,391.38,0.00,,0,4.22,,,Thursday,15,1,375.00
2026-03-12T16:32:00.251454,OPEN,AAPL,bear_call_spread,bearish,-0.68,-0.68,0,0,0,5,5,0.090,0.0463,88,94,0.2720,2377110,0.7013,255.59,0.00,,0,1.70,,,Thursday,16,1,182.00
2026-03-13T14:17:52.720730,CLOSE,IWM,bear_call_spread,bearish,1.01,0.50,102.00,50.50,5548,4,2,0.000,0.1178,0,0,0.3367,0,0.0000,0.00,0.00,,0,-2.52,,Take profit hit: close=$0.50 <= $0.50 (50% of credit),Friday,14,2,398.00
2026-03-13T14:25:27.525731,OPEN,ARKK,bear_call_spread,bearish,-0.51,-0.51,0,0,0,6,6,0.196,0.0357,72,95,0.1667,22094720,0.6707,71.57,0.00,,0,1.27,,,Friday,14,2,500.00
2026-03-16T13:30:05.334298,CLOSE,NVDA,bull_put_spread,bullish,0.56,0.40,32.00,28.57,8312,4,-1,0.000,0.0187,0,0,0.2240,0,0.0000,0.00,0.00,,0,-1.40,,Credit DTE exit: 0 DTE with +10.7% profit — avoiding assignment risk,Monday,13,2,388.00
2026-03-16T13:45:18.649304,OPEN,IWM,bear_call_spread,bearish,-1.10,-1.10,0,0,0,6,6,0.089,0.0470,95,93,0.3500,3668277,0.6273,250.88,0.00,,0,2.75,,,Monday,13,2,390.00
2026-03-16T16:45:14.092498,CLOSE,AAPL,bear_call_spread,bearish,0.68,0.17,51.00,75.00,5773,2,1,0.000,0.1223,0,0,0.2720,0,0.0000,0.00,0.00,,0,-1.70,,Credit DTE exit: 1 DTE with +75.0% profit — avoiding assignment risk,Monday,16,1,182.00
2026-03-16T17:06:41.147132,OPEN,ORCL,bull_put_spread,bullish,-0.65,-0.65,0,0,0,3,3,-0.070,0.0470,73,100,0.1867,1168653,0.7093,155.50,0.00,,0,1.62,,,Monday,17,1,244.00
2026-03-17T13:36:41.096055,CLOSE,WFC,bull_put_spread,bullish,0.55,0.16,39.00,70.91,7093,4,2,0.000,0.0354,0,0,0.1833,0,0.0000,0.00,0.00,,0,-1.37,,Take profit hit: close=$0.20 <= $0.27 (50% of credit),Tuesday,13,1,245.00
2026-03-17T13:47:14.335871,OPEN,NVDA,bull_put_spread,bullish,-0.60,-0.60,0,0,0,5,5,-0.079,0.0158,86,90,0.2400,105636037,0.6531,183.71,0.00,,0,1.50,,,Tuesday,13,1,190.00
2026-03-17T16:04:23.480385,OPEN,META,bull_put_spread,bullish,-2.26,-2.26,0,0,0,5,5,-0.100,0.0506,83,91,0.2933,1500847,0.5767,626.75,0.00,,0,5.65,,,Tuesday,16,1,530.00
2026-03-18T13:35:17.572426,CLOSE,ORCL,bull_put_spread,bullish,0.65,0.59,6.00,9.23,2669,3,1,0.000,0.0985,0,0,0.2167,0,0.0000,0.00,0.00,,0,-1.62,,Credit DTE exit: 1 DTE with +1.5% profit — avoiding assignment risk,Wednesday,13,1,235.00
